Quizzes	Answered	Precision
256	24147	8.59375
512	46512	16.796875
768	69379	12.890625
1024	90578	22.65625
1280	112484	19.921875
1536	133801	22.65625
1792	154585	24.21875
2048	174909	27.734375
2304	195014	29.6875
2560	214410	33.203125
2816	234436	28.515625
3072	252610	35.15625
3328	270917	35.15625
3584	290121	32.03125
3840	308862	35.9375
4096	325839	45.3125
4352	342753	42.1875
4608	360046	43.359375
4864	377306	42.1875
5120	393384	49.21875
5376	410417	42.96875
5632	427575	44.140625
5888	444528	44.53125
6144	460160	51.5625
6400	474962	54.6875
6656	489459	56.25
6912	506008	48.4375
7168	520427	57.8125
7424	535284	54.296875
7680	549692	55.859375
7936	563342	59.375
8192	576748	60.9375
8448	589889	60.546875
8704	603834	57.8125
8960	616583	61.71875
9216	629937	63.28125
9472	642539	66.796875
9728	656657	58.984375
9984	669853	62.890625
10240	681677	69.140625
10496	693227	69.921875
10752	705782	66.015625
11008	718072	67.96875
11264	730238	67.96875
11520	742038	69.53125
11776	753565	69.921875
12032	765721	68.75
12288	777431	69.921875
12544	789382	67.578125
12800	801580	68.359375
13056	812627	72.265625
13312	822696	74.21875
13568	832418	77.734375
13824	841737	80.46875
14080	851485	78.125
14336	861518	77.734375
14592	871009	79.296875
14848	880727	76.171875
15104	890834	76.171875
15360	899964	78.515625
15616	909554	75.78125
15872	919223	77.734375
16128	928810	76.5625
16384	938690	76.5625
16640	947655	80.078125
16896	956573	79.6875
17152	964936	82.03125
17408	973843	83.203125
17664	982951	79.296875
17920	992066	82.421875
18176	1000692	83.984375
18432	1008506	85.15625
18688	1017311	83.59375
18944	1025707	81.640625
19200	1034415	84.375
19456	1042271	85.546875
19712	1049729	85.9375
19968	1058241	83.203125
20224	1066828	82.8125
20480	1074706	85.15625
20736	1083433	80.078125
20992	1091989	84.375
21248	1099423	86.71875
21504	1106948	85.546875
21760	1114525	86.328125
22016	1122370	84.765625
22272	1130254	85.546875
22528	1137722	85.546875
22784	1144605	87.5
23040	1151603	89.0625
23296	1158813	87.890625
23552	1166202	87.890625
23808	1172945	89.84375
24064	1180981	85.546875
24320	1188098	87.890625
24576	1195325	85.9375
24832	1202595	87.5
25088	1209298	88.28125
25344	1216889	89.0625
25600	1223840	89.0625
25856	1231659	86.71875
26112	1238015	89.0625
26368	1244601	89.84375
26624	1251995	89.0625
26880	1259295	87.5
27136	1265631	89.0625
27392	1272011	89.453125
27648	1278672	89.0625
27904	1285443	88.28125
28160	1291233	91.40625
28416	1297567	91.796875
28672	1303123	94.53125
28928	1309585	90.234375
29184	1315982	91.40625
29440	1322729	87.5
29696	1329083	90.234375
29952	1334564	92.578125
30208	1340297	92.1875
30464	1345094	93.75
30720	1350993	91.796875
