Quizzes	Answered	Accuracy	Length
256	22970	10.546875	2.592593
512	40074	34.375	3.454545
768	54640	45.3125	4.87931
1024	67411	52.34375	4.261194
1280	76254	68.75	4.789773
1536	83131	76.5625	4.47449
1792	88848	82.03125	5.319048
2048	93851	85.15625	5.518349
2304	98002	88.671875	5.511013
2560	101104	92.578125	5.07173
2816	103754	94.53125	5.165289
3072	106342	95.3125	5.688525
3328	108304	97.65625	5.448
3584	110553	96.484375	5.461538
3840	112637	96.875	5.177419
4096	114659	96.875	4.927419
4352	116383	98.4375	5.253968
4608	117911	98.828125	4.853755
4864	119496	98.828125	5.079051
5120	121242	99.21875	6.086614
5376	122655	99.609375	5.14902
5632	124170	99.609375	5.54902
5888	125443	100	4.972656
6144	126850	99.609375	5.12549
6400	128053	100	4.699219
6656	129476	99.21875	4.814961
6912	130874	99.21875	4.716535
7168	132182	100	5.109375
7424	133582	99.21875	4.724409
7680	134964	99.609375	5.027451
7936	136233	100	4.957031
8192	137571	99.609375	4.854902
8448	138955	99.609375	5.035294
8704	140280	99.609375	4.803922
8960	141476	100	4.671875
9216	142705	100	4.800781
9472	144023	99.609375	4.776471
9728	145239	100	4.75
9984	146522	99.609375	4.639216
10240	147760	100	4.835938
10496	148921	100	4.535156
10752	150259	99.609375	4.854902
11008	151450	100	4.652344
11264	152631	100	4.613281
11520	153787	100	4.515625
11776	154940	100	4.503906
12032	156175	100	4.824219
12288	157495	99.609375	4.784314
12544	158761	99.609375	4.572549
12800	159943	100	4.617188
13056	161101	100	4.523438
13312	162274	100	4.582031
13568	163457	100	4.621094
13824	164709	99.609375	4.517647
14080	165972	99.609375	4.560784
14336	167221	100	4.878906
14592	168374	100	4.503906
14848	169618	99.609375	4.486275
15104	170826	100	4.71875
15360	172011	100	4.628906
15616	173161	100	4.492188
15872	174282	100	4.378906
16128	175418	100	4.4375
16384	176601	100	4.621094
16640	177864	99.609375	4.560784
16896	179023	100	4.527344
17152	180143	100	4.375
17408	181291	100	4.484375
17664	182515	100	4.78125
17920	183634	100	4.371094
18176	184743	100	4.332031
18432	185872	100	4.410156
18688	186965	100	4.269531
18944	188109	100	4.46875
19200	189239	100	4.414063
19456	190494	99.609375	4.529412
19712	191664	100	4.570313
19968	192835	100	4.574219
20224	194007	100	4.578125
20480	195247	99.609375	4.470588
20736	196499	99.609375	4.517647
20992	197645	100	4.476563
21248	198786	100	4.457031
21504	199930	100	4.46875
21760	201087	100	4.519531
22016	202206	100	4.371094
22272	203336	100	4.414063
22528	204497	100	4.535156
22784	205655	100	4.523438
23040	206873	100	4.757813
23296	207987	100	4.351563
23552	209146	100	4.527344
23808	210344	100	4.679688
24064	211507	100	4.542969
24320	212669	100	4.539063
24576	213768	100	4.292969
24832	214957	99.609375	4.270588
25088	216053	100	4.28125
25344	217300	99.609375	4.498039
25600	218511	99.609375	4.356863
25856	219680	100	4.566406
26112	220868	99.609375	4.266667
26368	222009	100	4.457031
26624	223195	100	4.632813
26880	224333	100	4.445313
27136	225532	99.609375	4.309804
27392	226655	100	4.386719
27648	227846	100	4.652344
27904	228983	100	4.441406
28160	230152	100	4.566406
28416	231271	100	4.371094
28672	232402	100	4.417969
28928	233528	100	4.398438
29184	234693	100	4.550781
29440	235845	100	4.5
29696	237011	100	4.554688
29952	238129	100	4.367188
30208	239257	100	4.40625
30464	240396	100	4.449219
30720	241533	100	4.441406
30976	242679	100	4.476563
31232	243812	100	4.425781
31488	244974	100	4.539063
31744	246104	100	4.414063
32000	247202	100	4.289063
32256	248371	100	4.566406
32512	249464	100	4.269531
32768	250614	100	4.492188
33024	251733	100	4.371094
33280	252843	100	4.335938
33536	253933	100	4.257813
33792	255050	100	4.363281
34048	256182	100	4.421875
34304	257342	100	4.53125
34560	258492	100	4.492188
34816	259615	100	4.386719
35072	260776	100	4.535156
35328	261876	100	4.296875
35584	262987	100	4.339844
35840	264109	100	4.382813
36096	265223	100	4.351563
36352	266367	100	4.46875
36608	267515	100	4.484375
36864	268608	100	4.269531
37120	269731	100	4.386719
37376	270869	100	4.445313
37632	271981	100	4.34375
37888	273091	100	4.335938
38144	274166	100	4.199219
38400	275390	99.609375	4.407843
38656	276472	100	4.226563
38912	277577	100	4.316406
39168	278722	100	4.472656
39424	279875	100	4.503906
39680	280961	100	4.242188
39936	282045	100	4.234375
40192	283205	100	4.53125
40448	284314	100	4.332031
40704	285432	100	4.367188
40960	286572	100	4.453125
41216	287668	100	4.28125
41472	288815	100	4.480469
41728	290031	99.609375	4.376471
41984	291202	100	4.574219
42240	292351	100	4.488281
42496	293429	100	4.210938
42752	294514	100	4.238281
43008	295599	100	4.238281
43264	296794	100	4.667969
43520	297897	100	4.308594
43776	299026	100	4.410156
44032	300136	100	4.335938
44288	301267	100	4.417969
44544	302393	100	4.398438
44800	303496	100	4.308594
45056	304605	100	4.332031
45312	305696	100	4.261719
45568	306774	100	4.210938
45824	307888	100	4.351563
46080	309007	100	4.371094
46336	310052	100	4.082031
46592	311169	100	4.363281
46848	312264	100	4.277344
47104	313365	100	4.300781
47360	314504	100	4.449219
47616	315641	100	4.441406
