Quizzes	Answered	Precision
256	24512	5.46875
512	47431	14.0625
768	69357	17.1875
1024	91069	19.140625
1280	111663	23.4375
1536	132477	25
1792	153751	21.09375
2048	174058	26.5625
2304	193877	30.859375
2560	213806	26.5625
2816	234891	23.828125
3072	253578	34.375
3328	272548	33.203125
3584	290284	37.109375
3840	309686	31.640625
4096	327863	36.328125
4352	345707	40.234375
4608	362725	41.40625
4864	380910	39.0625
5120	398468	42.96875
5376	415268	45.3125
5632	432241	46.875
5888	448396	48.4375
6144	464832	47.265625
6400	480276	51.5625
6656	496123	50.78125
6912	513063	46.484375
7168	528613	49.609375
7424	544745	49.21875
7680	560862	51.171875
7936	576108	51.171875
8192	590682	57.03125
8448	606522	50.78125
8704	621538	54.6875
8960	635470	59.375
9216	649656	58.984375
9472	664026	58.984375
9728	677871	60.15625
9984	692047	60.15625
10240	704823	65.234375
10496	718916	60.15625
10752	732613	60.546875
11008	744795	66.015625
11264	757387	66.796875
11520	769732	67.1875
11776	783473	61.71875
12032	796970	64.84375
12288	809212	66.015625
12544	822561	63.671875
12800	833527	72.65625
13056	845531	67.1875
13312	857950	67.1875
13568	870827	64.0625
13824	884152	63.671875
14080	895754	73.046875
14336	907676	69.921875
14592	920016	68.359375
14848	931735	69.140625
15104	942981	72.265625
15360	955042	69.140625
15616	965980	73.4375
15872	977276	71.09375
16128	988797	72.265625
16384	998687	81.25
16640	1010411	69.53125
16896	1021820	71.484375
17152	1032185	76.953125
17408	1042240	77.734375
17664	1053039	73.828125
17920	1064295	69.921875
18176	1075302	75
18432	1085656	75.390625
18688	1095123	82.8125
18944	1106122	74.21875
19200	1115062	80.46875
19456	1124599	77.34375
19712	1134106	79.6875
19968	1143552	80.078125
20224	1153839	78.125
20480	1162776	83.203125
20736	1172719	76.171875
20992	1181295	82.8125
21248	1189946	83.203125
21504	1199114	81.25
21760	1208257	82.03125
22016	1216937	82.8125
22272	1227072	80.46875
22528	1236853	78.90625
22784	1246623	78.515625
23040	1256204	79.296875
23296	1264788	83.59375
23552	1274102	80.859375
23808	1283326	82.421875
24064	1292352	82.8125
24320	1301564	83.59375
24576	1311024	79.6875
24832	1318859	87.109375
25088	1328202	78.90625
25344	1337150	82.8125
25600	1346151	83.203125
25856	1354762	82.8125
26112	1364263	79.6875
26368	1372470	84.765625
26624	1381039	83.203125
26880	1388759	89.84375
27136	1396851	85.546875
27392	1404994	85.15625
27648	1413589	82.421875
27904	1422015	85.9375
28160	1429986	87.109375
28416	1438147	86.328125
28672	1446344	85.546875
28928	1454389	86.71875
29184	1462641	85.546875
29440	1470276	87.109375
29696	1478185	84.375
29952	1486673	83.984375
30208	1494442	85.546875
30464	1502032	89.0625
30720	1508885	89.84375
30976	1516692	89.84375
31232	1523730	89.453125
31488	1532158	82.8125
31744	1539125	89.453125
32000	1545972	91.015625
32256	1554071	85.15625
32512	1560570	91.40625
32768	1566506	91.015625
33024	1574415	88.671875
33280	1582588	86.71875
33536	1589529	90.234375
33792	1596719	88.28125
34048	1603806	91.40625
34304	1610593	91.40625
34560	1617794	87.5
34816	1624628	90.625
35072	1631448	90.234375
35328	1638648	89.0625
35584	1645315	90.625
35840	1651808	92.1875
36096	1658901	90.234375
36352	1666758	86.328125
36608	1673586	91.015625
36864	1680191	91.015625
37120	1687421	89.0625
37376	1694267	90.234375
37632	1700002	94.53125
37888	1706710	91.40625
38144	1713472	91.796875
38400	1720426	91.40625
38656	1728275	90.234375
38912	1735024	90.234375
39168	1741183	91.015625
39424	1748122	89.84375
39680	1754243	94.140625
39936	1760280	94.140625
40192	1767445	90.625
40448	1774482	88.28125
40704	1781219	89.84375
40960	1787702	91.40625
41216	1795099	88.671875
41472	1801594	91.015625
41728	1808092	90.625
41984	1815129	88.671875
42240	1821053	94.140625
42496	1827900	89.0625
42752	1834641	91.015625
43008	1841403	90.625
43264	1847429	91.796875
43520	1853138	92.1875
43776	1859734	90.625
44032	1866076	91.40625
44288	1873157	90.625
44544	1879926	91.40625
44800	1886427	91.40625
45056	1892438	92.96875
45312	1898412	93.75
45568	1903994	95.3125
45824	1911289	91.796875
46080	1917936	92.96875
46336	1924425	94.140625
46592	1930954	92.1875
46848	1936766	94.53125
47104	1941877	96.09375
47360	1948404	92.1875
47616	1954829	94.140625
47872	1961493	92.1875
48128	1967108	93.75
48384	1973891	91.40625
48640	1979929	92.578125
48896	1986615	92.578125
49152	1992977	92.96875
49408	1998560	94.53125
49664	2004599	94.140625
49920	2010501	93.75
50176	2015946	93.75
50432	2022291	92.1875
50688	2028581	92.96875
50944	2034926	91.796875
51200	2040399	96.09375
51456	2046422	92.578125
51712	2052135	94.53125
51968	2058468	91.015625
52224	2064196	94.140625
52480	2069393	95.3125
52736	2075142	92.96875
52992	2081346	93.359375
53248	2087310	93.75
53504	2093150	92.578125
53760	2099121	92.96875
54016	2105882	90.234375
54272	2111492	96.09375
54528	2117531	94.140625
54784	2123762	94.53125
55040	2129331	94.921875
55296	2135854	91.015625
55552	2141159	95.703125
55808	2147168	93.75
56064	2153584	93.359375
56320	2159404	94.53125
56576	2165355	92.1875
56832	2171077	93.75
57088	2176553	94.921875
57344	2182752	94.140625
57600	2187783	96.09375
57856	2193429	95.3125
58112	2199113	95.703125
58368	2204747	94.921875
58624	2210158	94.921875
58880	2215697	97.265625
59136	2220875	97.265625
59392	2226254	95.3125
59648	2231689	94.921875
59904	2236992	94.140625
60160	2242944	92.578125
60416	2248712	94.53125
60672	2253985	94.53125
60928	2259557	94.140625
61184	2265038	94.140625
61440	2270848	94.53125
61696	2276029	94.921875
61952	2281602	96.09375
62208	2287715	93.75
62464	2293197	94.53125
62720	2298781	95.3125
62976	2303992	96.484375
63232	2309181	97.265625
63488	2314492	95.3125
63744	2319578	95.703125
64000	2325259	94.53125
64256	2330422	97.265625
64512	2335454	97.65625
64768	2341227	94.53125
65024	2346559	98.4375
65280	2351107	97.265625
65536	2356286	95.3125
65792	2361812	96.875
66048	2367248	95.703125
66304	2372632	94.921875
66560	2377750	94.53125
66816	2383210	95.703125
67072	2388591	97.265625
67328	2393542	96.484375
67584	2398926	94.140625
67840	2404488	96.09375
68096	2409739	95.703125
68352	2414580	96.484375
68608	2419491	96.484375
68864	2424350	96.09375
69120	2429357	96.484375
69376	2434757	95.703125
69632	2440409	94.921875
69888	2445324	96.484375
70144	2450441	96.484375
70400	2455775	94.140625
70656	2460589	96.875
70912	2465355	98.046875
71168	2470048	98.828125
71424	2475246	96.484375
71680	2480187	96.09375
71936	2485065	97.65625
72192	2490098	97.265625
72448	2494568	99.21875
72704	2499830	96.484375
72960	2505370	95.703125
73216	2510710	95.703125
73472	2515633	97.265625
73728	2520861	96.09375
73984	2526097	96.875
74240	2531168	95.3125
74496	2536714	96.484375
74752	2541956	95.3125
75008	2546372	99.609375
75264	2551393	95.3125
75520	2555994	96.484375
75776	2561020	96.484375
76032	2565392	98.4375
76288	2570034	97.65625
76544	2575727	93.359375
76800	2580525	95.703125
77056	2585558	96.484375
77312	2590500	96.875
77568	2595300	97.265625
77824	2599876	97.265625
78080	2604822	96.484375
78336	2609396	96.484375
78592	2614333	96.875
78848	2618854	96.875
79104	2623842	96.09375
79360	2628806	97.265625
79616	2633843	96.484375
79872	2638859	98.046875
80128	2644167	95.3125
80384	2648690	98.4375
80640	2653759	96.875
80896	2658184	97.265625
81152	2662779	98.046875
81408	2667941	96.09375
81664	2673153	98.046875
81920	2677936	97.265625
82176	2682601	97.265625
82432	2687539	96.484375
82688	2692314	97.265625
82944	2697613	97.265625
83200	2702445	96.484375
83456	2707296	96.875
83712	2711988	97.265625
83968	2716739	97.65625
84224	2721607	96.484375
84480	2725702	98.046875
84736	2730968	95.3125
84992	2735734	96.875
85248	2740313	98.4375
85504	2744576	98.4375
85760	2749550	97.265625
86016	2754448	97.265625
86272	2759651	97.265625
86528	2764664	97.265625
86784	2769587	96.875
87040	2774130	98.4375
87296	2778367	98.828125
