Quizzes	Answered	Precision
256	23753	9.375
512	47020	12.109375
768	69894	14.453125
1024	92058	16.796875
1280	113950	20.703125
1536	135512	21.484375
1792	156531	22.265625
2048	177573	22.265625
2304	197335	29.296875
2560	217335	27.734375
2816	237104	31.25
3072	256785	30.078125
3328	276823	29.6875
3584	295315	36.328125
3840	313016	39.0625
4096	331117	39.0625
4352	348584	42.578125
4608	366935	39.0625
4864	384234	41.015625
5120	401073	43.359375
5376	417842	44.140625
5632	433176	51.953125
5888	448750	52.34375
6144	464390	51.171875
6400	479787	51.953125
6656	495995	49.609375
6912	510839	51.5625
7168	526791	50
7424	542442	51.5625
7680	557382	53.515625
7936	571922	57.03125
8192	586600	55.859375
8448	601130	56.25
8704	614483	60.546875
8960	629216	55.078125
9216	642291	62.5
9472	655952	60.546875
9728	669306	62.5
9984	681952	63.28125
10240	695281	62.890625
10496	708879	60.546875
10752	720384	70.703125
11008	733081	66.015625
11264	746265	62.109375
11520	759139	61.71875
11776	771632	66.015625
12032	782721	70.703125
12288	793634	72.265625
12544	806084	68.359375
12800	817812	69.921875
13056	829629	69.140625
13312	840318	75.390625
13568	851967	71.484375
13824	862249	76.171875
14080	873172	73.828125
14336	883501	78.125
14592	894700	72.265625
14848	904818	77.734375
15104	915831	73.4375
15360	927029	73.046875
15616	938053	74.21875
15872	948103	76.953125
16128	957607	77.34375
16384	967717	76.171875
16640	977888	77.34375
16896	987248	82.421875
17152	997246	78.90625
17408	1006483	80.078125
17664	1016138	76.953125
17920	1024948	82.8125
18176	1034626	76.5625
18432	1043398	82.8125
18688	1053245	77.734375
18944	1063192	78.90625
19200	1073486	76.171875
19456	1081920	81.640625
19712	1090319	85.9375
19968	1099428	80.859375
20224	1108765	80.078125
20480	1116813	84.765625
20736	1125153	85.15625
20992	1133417	84.375
21248	1141859	82.03125
21504	1150090	83.203125
21760	1157993	87.5
22016	1167296	81.25
22272	1174919	85.9375
22528	1184005	81.25
22784	1192565	82.421875
23040	1199953	87.5
23296	1206799	88.28125
23552	1215079	84.765625
23808	1223496	82.421875
24064	1231356	85.15625
24320	1240341	84.375
24576	1247721	87.109375
24832	1255665	85.546875
25088	1262615	88.28125
25344	1269709	87.109375
25600	1277755	85.546875
25856	1286134	85.546875
26112	1293809	86.71875
26368	1301350	85.15625
26624	1308613	89.84375
26880	1316332	86.71875
27136	1324742	85.546875
27392	1331857	89.0625
27648	1339322	89.0625
27904	1346229	88.28125
28160	1353680	88.28125
28416	1360852	87.5
28672	1368892	84.765625
28928	1375855	88.671875
29184	1383265	87.109375
29440	1390639	86.328125
29696	1396771	91.796875
29952	1403854	88.28125
30208	1410814	91.40625
30464	1417591	89.453125
30720	1424498	89.453125
30976	1431831	89.0625
31232	1438518	91.015625
31488	1446217	86.328125
31744	1452614	92.1875
32000	1459223	91.40625
32256	1466363	87.890625
32512	1473600	88.28125
32768	1480862	89.0625
33024	1487570	89.453125
33280	1493801	92.1875
33536	1500325	89.84375
33792	1506521	92.578125
34048	1513211	89.84375
34304	1519240	91.796875
34560	1525164	92.1875
34816	1531402	92.1875
35072	1537306	93.75
35328	1542524	92.96875
35584	1548508	92.1875
35840	1555594	90.234375
36096	1561954	90.234375
36352	1567601	93.359375
36608	1573245	92.1875
36864	1579908	89.453125
37120	1585824	91.015625
37376	1591926	91.40625
37632	1597927	92.578125
37888	1603775	92.96875
38144	1609235	93.359375
38400	1615015	94.140625
38656	1620875	92.578125
38912	1627349	91.015625
39168	1633324	93.359375
39424	1638827	94.921875
39680	1644639	94.921875
39936	1650508	91.40625
40192	1656190	94.140625
40448	1662432	90.625
40704	1668620	91.015625
40960	1673385	96.875
41216	1678642	93.359375
41472	1684427	93.359375
41728	1689836	94.921875
41984	1696066	91.796875
42240	1701410	94.53125
42496	1706466	94.921875
42752	1711303	95.3125
43008	1717969	91.015625
43264	1723875	94.140625
43520	1728932	96.09375
43776	1734095	95.3125
44032	1738854	94.921875
